database,type,initial retrieved unique entries,cleaned referenced structure-organism pairs,pairs validated for wikidata export,actual pairs on wikidata,website,article,retrieval,license status,contact,dump,status,timestamp
drduke,open,90675,9536,6113,5107,[website](https://phytochem.nal.usda.gov/phytochem/help/index/about),-,[download](https://data.nal.usda.gov/system/files/Duke-Source-CSV.zip),[license_CC0](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/drduke.md),[agref@usda.gov](mailto:agref@usda.gov),YES,maintained,2022-03-19T08:22:53Z
foodb,restricted,81941,36214,-,-,[website](https://foodb.ca/about#cite),-,[download](https://foodb.ca/public/system/downloads/foodb_2020_4_7_csv.tar.gz),[license_CCBY_NC](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/foodb.md),[jreid3@ualberta.ca](mailto:jreid3@ualberta.ca) (Jennifer),YES,unmaintained,2022-03-19T08:22:54Z
inflamnat,open,665,586,276,-,[website](http://www.inflamnat.com/),[article](https://pubs.acs.org/doi/10.1021/acs.jcim.8b00560); [article_new](https://doi.org/10.1186/s13321-022-00608-5),[download](https://pubs.acs.org/doi/suppl/10.1021/acs.jcim.8b00560/suppl_file/ci8b00560_si_001.xlsx); [download_new](https://static-content.springer.com/esm/art%3A10.1186%2Fs13321-022-00608-5/MediaObjects/13321_2022_608_MOESM2_ESM.xlsx),[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/inflamnat.md),[xiaoweilie@ynu.edu.cn](mailto:xiaoweilie@ynu.edu.cn),YES,maintained,2021-09-14T13:51:30Z
knapsack,open,132127,142791,61385,53812,[website](http://www.knapsackfamily.com/knapsack_core/top.php),[article](https://link.springer.com/chapter/10.1007/3-540-29782-0_13),[script](https://github.com/lotusnprod/lotus-processor/blob/main//src/1_gathering/db/knapsack/scraping.R),[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/knapsack.md),[skanaya@gtc.naist.jp](mailto:skanaya@gtc.naist.jp),NO,maintained,2021-09-17T10:15:34Z
metabolights,open,46141,44857,7311,6350,[website](https://www.ebi.ac.uk/metabolights/about),[article](https://doi.org/10.1093/nar/gkz1019),[download](ftp://ftp.ebi.ac.uk/pub/databases/metabolights/eb-eye/eb-eye_metabolights_complete.xml),[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/metabolights.md),-,YES,maintained,2022-02-26T01:44:00Z
mibig,open,1310,1090,609,423,[website](https://mibig.secondarymetabolites.org),[article](https://doi.org/10.1093/nar/gkz882),[download](https://dl.secondarymetabolites.org/mibig/mibig_json_2.0.tar.gz),[license_CCBY_4.0](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/mibig.md),[Tilmann Weber](mailto:tiwe@biosustain.dtu.dk) or  [Marnix Medema](mailto:marnix.medema@wur.nl),YES,unmaintained,2021-09-23T20:59:48Z
mitishamba,open,1071,470,228,223,[website](http://mitishamba.uonbi.ac.ke),[article](http://erepository.uonbi.ac.ke/handle/11295/92273),[mitishamba_script](https://github.com/lotusnprod/lotus-processor/blob/main//src/1_gathering/db/mitishamba/scraping.R),[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/mitishamba.md),-,NO,defunct,2020-06-12T13:34:39Z
nanpdb,open,5752,6106,5626,4761,[website](http://african-compounds.org/nanpdb),[article](https://doi.org/10.1021/acs.jnatprod.7b00283),[nanpdb_script](https://github.com/lotusnprod/lotus-processor/blob/main//src/1_gathering/db/nanpdb/scraping.R),[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/nanpdb.md),[ntiekfidele@gmail.com](mailto:ntiekfidele@gmail.com) [stefan.guenther@pharmazie.uni-freiburg.de](mailto:stefan.guenther@pharmazie.uni-freiburg.de),NO,maintained,2020-06-12T13:43:10Z
napralert,commercial,681401,361883,263182,234377,[website](https://www.napralert.org),[article](https://doi.org/10.1016/B978-008045382-8.00060-5),-,[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/napralert.md),[napralert@uic.edu](mailto:napralert@uic.edu),NO,defunct,2020-12-31T21:47:44Z
npass,open,290535,30688,25812,21802,[website](http://bidd2.nus.edu.sg/NPASS/about.php),[article](https://academic.oup.com/nar/article/46/D1/D1217/4584628),[download](http://bidd.group/NPASS/downloadnpass.html),[license_CCBY_NC](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/npass.md),[phacyz@nus.edu.sg](mailto:phacyz@nus.edu.sg) [jiangyy@sz.tsinghua.edu.cn](mailto:jiangyy@sz.tsinghua.edu.cn) [iaochen@163.com](mailto:iaochen@163.com),YES,unmaintained,2020-07-10T13:03:09Z
npatlas,open,32539,32797,32475,20228,[website](https://www.npatlas.org/joomla),[article](https://doi.org/10.1021/acscentsci.9b00806),[download](https://www.npatlas.org/custom/versions/np_atlas_2020_06/NPAtlas_download.tsv),[license_CCBY_4.0](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/npatlas.md),[rliningt@sfu.ca](mailto:rliningt@sfu.ca),YES,maintained,2021-08-18T18:29:55Z
npcare,open,7763,4435,2856,2407,[website](http://silver.sejong.ac.kr/npcare),[article](https://doi.org/10.1186/s13321-016-0188-5),[download](http://silver.sejong.ac.kr/npcare/csv/npcare.zip),[license_CCBY_4.0](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/npcare.md),[choihwanho@gmail.com](mailto:choihwanho@gmail.com),YES,unmaintained,2016-12-20T12:40:12Z
npedia,open,82,85,27,8,[website](http://www.cbrg.riken.jp/npedia/?LANG=en),[article](https://www.jstage.jst.go.jp/article/ciqs/2006/0/2006_0_JL6/_article),[script](https://github.com/lotusnprod/lotus-processor/blob/main//src/1_gathering/db/npedia/scraping.R),[no_license](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/npedia.md),[hisyo@riken.jp](mailto:hisyo@riken.jp) [npd@riken.jp](mailto:npd@riken.jp),NO,defunct,2020-06-03T08:23:04Z
nubbe,open,2189,2239,2239,1910,[website](https://nubbe.iq.unesp.br/portal/nubbe-search.html),[article](https://www.nature.com/articles/s41598-017-07451-x),-,[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/nubbe.md),[Vanderlan S. Bolzani](https://www.nature.com/articles/s41598-017-07451-x/email/correspondent/c1/new),NO,maintained,2022-03-19T08:22:54Z
pamdb,open,3046,2823,50,50,[website](http://pseudomonas.umaryland.edu/PAMDB.htm),[article](https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkx1061),[download](http://pseudomonas.umaryland.edu/PaDl/PaMet.xlsx),[license_CCBY_NC](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/pamdb.md),[awilks@rx.umaryland.edu](mailto:awilks@rx.umaryland.edu) [aoglesby@rx.umaryland.edu](mailto:aoglesby@rx.umaryland.edu) [mkane@rx.umaryland.edu](mailto:mkane@rx.umaryland.edu),YES,unmaintained,2017-03-02T19:47:50Z
phenolexplorer,open,8077,8518,6953,5038,[website](http://phenol-explorer.eu/cite_us),[article](http://database.oxfordjournals.org/content/2013/bat070.long),[download](http://phenol-explorer.eu/downloads),[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/phenolexplorer.md),[scalberta@iarc.fr](mailto:scalberta@iarc.fr),YES,unmaintained,2016-12-11T02:27:57Z
phytohub,open,2349,1194,170,36,[website](http://phytohub.eu/about),[article](https://hal.archives-ouvertes.fr/hal-01697081/file/2017_Giacomoni_ICPH_Québec.pdf),[script](https://github.com/lotusnprod/lotus-processor/blob/main//src/1_gathering/db/phytohub/scraping.R),[no_license](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/phytohub.md),[claudine.manach@inra.fr](mailto:claudine.manach@inra.fr),YES,unmaintained,2020-06-03T08:45:20Z
procardb,open,6556,6213,59,51,[website](https://bioinfo.imtech.res.in/servers/procardb),[article](https://bmcmicrobiol.biomedcentral.com/articles/10.1186/s12866-016-0715-6),[script](https://github.com/lotusnprod/lotus-processor/blob/main//src/1_gathering/db/procardb/scraping.R),[license_CCBY_4.0](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/procardb.md),[Anil Kumar Pinnaka](https://bmcmicrobiol.biomedcentral.com/articles/10.1186/s12866-016-0715-6/email/correspondent/c1/new) [Ashwani Kumar](https://bmcmicrobiol.biomedcentral.com/articles/10.1186/s12866-016-0715-6/email/correspondent/c2/new),NO,unmaintained,2020-08-10T19:00:42Z
respect,open,2759,1045,631,514,[website](http://spectra.psc.riken.jp/menta.cgi/respect/licence/licence),[article](https://www.sciencedirect.com/science/article/pii/S003194221200310X),[download](http://spectra.psc.riken.jp/menta.cgi/static/respect/respect.zip),[license_CCBY_NC_2.1_Japan](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/respect.md),[ksaito@psc.riken.jp](mailto:ksaito@psc.riken.jp),YES,unmaintained,2022-03-19T08:22:54Z
sancdb,open,860,836,675,604,[website](https://sancdb.rubi.ru.ac.za/cite_us),[article](https://jcheminf.biomedcentral.com/articles/10.1186/s13321-015-0080-8),[script](https://github.com/lotusnprod/lotus-processor/blob/main//src/1_gathering/db/sancdb/scraping.R),[license_CCBY_4.0](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/sancdb.md),[Özlem Tastan Bishop](https://jcheminf.biomedcentral.com/articles/10.1186/s13321-015-0080-8/email/correspondent/c1/new),NO,unmaintained,2020-06-03T09:48:30Z
streptomedb,open,71638,29344,18423,14732,[website](http://132.230.56.4/streptomedb3),[article](https://doi.org/10.1093/nar/gkv1319),[download](http://132.230.56.4/streptomedb/download),[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/streptomedb.md),[stefan.guenther@pharmazie.uni-freiburg.de](mailto:stefan.guenther@pharmazie.uni-freiburg.de),YES,maintained,2021-10-03T22:39:24Z
swmd,open,1075,1371,1267,1160,[website](http://www.swmd.co.in/index.php),[article](https://dx.doi.org/10.6026%2F97320630005361),[script](https://github.com/lotusnprod/lotus-processor/blob/main//src/1_gathering/db/swmd/scraping.R),[license_CCBY_4.0](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/swmd.md),[Dicky.John@gmail.com](mailto:Dicky.John@gmail.com),NO,unmaintained,2022-03-19T08:22:54Z
tmdb,open,2116,532,20,19,[website](http://pcsb.ahau.edu.cn:8080/TCDB/index.jsp),[article](https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-014-0243-1),[script](https://github.com/lotusnprod/lotus-processor/blob/main//src/1_gathering/db/tmdb/scraping.R),[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/tmdb.md),[Xiao-Chun Wan](https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-014-0243-1/email/correspondent/c1/new) [Guan-Hu Bao](https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-014-0243-1/email/correspondent/c2/new),NO,unmaintained,2020-06-03T10:04:22Z
tmmc,open,15033,7801,5639,3958,[website](http://informatics.kiom.re.kr/compound/index.jsp),[article](https://bmccomplementmedtherapies.biomedcentral.com/articles/10.1186/s12906-015-0758-5),[download](http://informatics.kiom.re.kr/compound/download/compound.xlsx),[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/tmmc.md),[Jeong-Ju Lee](https://bmccomplementmedtherapies.biomedcentral.com/articles/10.1186/s12906-015-0758-5/email/correspondent/c1/new),YES,unmaintained,2016-06-16T04:28:00Z
tppt,open,27182,23742,676,631,[website](https://www.agroscope.admin.ch/agroscope/en/home/publications/apps/tppt.html),[article](https://pubs.acs.org/doi/10.1021/acs.jafc.8b01639),[download](https://www.agroscope.admin.ch/dam/agroscope/de/dokumente/publikationen/tppt-xls.xlsx.download.xlsx/TPPT_database.xlsx),[license_copyright](https://github.com/lotusnprod/lotus-processor/blob/main/doc/licenses/tppt.md),[thomas.bucheli@agroscope.admin.ch](mailto:thomas.bucheli@agroscope.admin.ch),YES,unmaintained,2021-09-24T19:50:21Z
unpd,open,331242,176099,83035,72992,[website](https://web.archive.org/web/20160314180639/http://pkuxxj.pku.edu.cn/UNPD/introduction.php),[article](https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062839),-,[license_CCBY_4.0](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/unpd.md),[lirongc@pku.edu.cn](mailto:lirongc@pku.edu.cn) [xiaojxu@pku.edu.cn](mailto:xiaojxu@pku.edu.cn),NO,defunct,2021-09-14T16:41:31Z
wakankensaku,open,367,186,174,168,[website](https://wakankensaku.inm.u-toyama.ac.jp/wiki/Main_Page),-,[script](https://github.com/lotusnprod/lotus-processor/blob/main//src/1_gathering/db/wakankensaku/scraping.R),-,-,NO,defunct,2020-07-02T08:35:05Z
wikidata,open,658663,653300,653300,632261,[website](https://www.wikidata.org/wiki/Wikidata:Main_Page),-,[download](https://w.wiki/3JpE),[license_CC0](https://github.com/lotusnprod/lotus-processor/blob/main/docs/licenses/wikidata.md),-,YES,maintained,-
